2019-10-06 04:07:38.658399,10
2019-10-06 04:07:48.658399,3
2019-10-06 04:07:58.658399,1
2019-10-06 04:08:08.658399,5
2019-10-06 04:08:18.658399,7
2019-10-06 04:08:28.658399,4
2019-10-06 04:08:38.658399,3
2019-10-06 04:08:48.658399,2
2019-10-06 04:08:58.658399,3
2019-10-06 04:09:08.658399,7
2019-10-06 04:09:18.658399,5
2019-10-06 04:09:28.658399,8
2019-10-06 04:09:38.658399,3
2019-10-06 04:09:48.658399,1
2019-10-06 04:09:58.658399,4
2019-10-06 04:10:08.658399,1
2019-10-06 04:10:18.658399,3
2019-10-06 04:10:28.658399,5
2019-10-06 04:10:38.658399,1
2019-10-06 04:10:48.658399,2
2019-10-06 04:10:58.658399,9
2019-10-06 04:11:08.658399,10
2019-10-06 04:11:18.658399,9
2019-10-06 04:11:28.658399,10
2019-10-06 04:11:38.658399,4
2019-10-06 04:11:48.658399,9
2019-10-06 04:11:58.658399,9
2019-10-06 04:12:08.658399,8
2019-10-06 04:12:18.658399,7
2019-10-06 04:12:28.658399,2
